carat,table,x,y,z,cut_Ideal,cut_Premium,color_E,color_I,clarity_SI2,clarity_VVS1,price
0.23,58.0,4.01,4.06,2.4,False,False,True,False,False,False,402.0
0.23,58.0,3.92,3.96,2.44,False,False,False,False,False,False,402.0
0.23,59.0,4.06,4.08,2.37,False,False,False,False,False,False,402.0
0.23,59.0,3.83,3.85,2.46,False,False,True,False,False,False,402.0
0.31,54.0,4.29,4.31,2.75,False,False,False,False,False,False,402.0
0.26,59.0,4.13,4.16,2.52,False,False,False,False,False,False,403.0
0.33,55.0,4.49,4.51,2.78,True,False,False,True,True,False,403.0
0.33,56.0,4.49,4.5,2.75,True,False,False,True,True,False,403.0
0.33,56.0,4.49,4.55,2.76,True,False,False,False,False,False,403.0
0.26,56.0,3.99,4.02,2.61,False,False,False,False,False,False,403.0
0.26,63.0,4.19,4.24,2.46,False,False,False,False,False,False,403.0
0.32,56.0,4.34,4.37,2.75,False,False,False,False,True,False,403.0
0.29,58.0,4.24,4.26,2.65,False,True,False,False,False,False,403.0
0.32,55.0,4.35,4.42,2.71,False,False,False,False,True,False,403.0
0.32,56.0,4.36,4.38,2.79,False,False,False,False,True,False,403.0
0.25,57.0,4.0,4.03,2.54,False,False,True,False,False,False,404.0
0.29,60.0,4.33,4.37,2.64,False,False,False,False,True,False,404.0
0.24,61.0,4.02,4.03,2.45,False,False,False,False,False,False,404.0
0.23,54.0,3.93,3.95,2.44,True,False,False,False,False,False,404.0
0.32,55.0,4.45,4.48,2.72,True,False,False,True,False,False,404.0
0.22,58.0,3.93,3.89,2.41,False,True,True,False,False,False,404.0
0.22,62.0,3.91,3.88,2.31,False,True,False,False,False,False,404.0
0.3,59.0,5.7,4.33,2.63,True,False,False,True,True,False,405.0
0.3,61.0,4.43,4.38,2.61,False,True,False,False,True,False,405.0
0.3,57.0,4.25,4.28,2.67,False,False,False,True,False,False,405.0
0.3,57.0,4.28,4.32,2.71,False,False,False,True,False,False,405.0
0.3,55.0,4.25,4.29,2.7,False,False,False,True,False,False,405.0
0.35,57.0,4.54,4.59,2.78,True,False,False,True,False,False,552.0
0.3,59.0,4.23,4.27,2.66,False,True,False,False,False,False,552.0
0.3,57.0,5.7,4.32,2.69,True,False,False,False,False,False,552.0
0.3,56.0,4.3,4.33,2.68,True,False,False,False,False,False,552.0
0.42,59.0,4.78,4.84,2.96,False,True,False,True,True,False,552.0
0.28,56.0,4.19,4.22,2.58,True,False,False,False,False,False,553.0
0.32,55.3,4.39,4.42,2.73,True,False,False,True,False,True,553.0
0.31,57.0,4.33,4.3,2.73,False,False,False,False,False,False,553.0
0.31,58.0,4.35,4.32,2.68,False,True,False,False,False,False,2401.0
0.24,58.0,4.01,4.03,2.44,True,False,True,False,False,True,553.0
0.24,60.0,3.97,4.0,2.45,False,False,False,False,False,True,553.0
0.3,56.0,4.29,4.27,2.7,False,False,False,False,False,False,554.0
0.3,59.0,4.28,4.24,2.68,False,True,False,False,False,False,554.0
0.3,57.0,4.29,5.71,2.67,False,True,False,False,False,False,554.0
0.3,57.0,4.28,4.26,2.72,True,False,False,False,False,False,554.0
0.26,60.0,4.19,4.22,3.53,False,False,False,False,False,False,554.0
0.26,58.0,4.15,4.23,2.51,False,False,True,False,False,False,554.0
0.26,54.0,4.08,4.13,2.56,False,False,False,False,False,False,554.0
0.26,60.0,4.01,4.05,2.53,False,False,False,False,False,False,554.0
0.26,59.0,4.06,4.09,2.55,False,False,True,False,False,True,554.0
0.26,59.0,4.0,4.04,2.55,False,False,True,False,False,True,554.0
0.26,60.0,4.03,4.12,2.53,False,False,False,False,False,True,554.0
0.26,58.0,4.02,4.06,2.54,True,False,True,False,False,False,554.0
0.38,57.0,4.65,4.67,2.87,True,False,False,True,True,False,554.0
0.26,60.0,4.22,4.25,2.45,False,False,True,False,False,True,554.0
0.24,59.0,3.95,3.92,2.45,False,True,False,False,False,True,554.0
0.24,58.0,4.01,3.96,2.44,False,True,False,False,False,True,554.0
0.24,59.0,4.02,4.0,2.44,False,True,False,False,False,True,554.0
0.24,58.0,4.07,4.04,2.46,False,True,False,False,False,False,554.0
0.32,58.0,4.35,4.33,2.73,False,True,False,True,False,False,554.0
0.7,57.0,5.7,5.72,3.57,True,False,True,False,False,False,2757.0
0.86,57.0,6.45,6.33,3.52,False,False,True,False,True,False,2757.0
0.7,56.0,5.7,5.67,3.5,True,False,False,False,False,False,2757.0
0.71,57.0,5.68,5.73,3.56,False,False,True,False,False,False,2759.0
0.78,56.0,5.81,5.85,3.72,False,False,False,False,True,False,2759.0
0.7,58.0,5.85,5.9,3.38,False,False,True,False,False,False,2759.0
0.7,62.0,5.71,5.76,3.4,False,False,False,False,False,False,2759.0
0.96,62.0,6.27,5.95,4.07,False,False,False,False,True,False,2759.0
0.73,59.0,5.77,5.78,3.56,False,False,True,False,False,False,2760.0
0.8,58.0,5.97,5.93,3.66,False,True,False,False,False,False,2760.0
0.75,56.0,5.8,5.75,3.65,False,False,False,False,False,False,2760.0
0.75,54.0,6.0,5.96,3.58,False,True,True,False,False,False,2760.0
0.74,55.0,5.8,5.85,3.59,True,False,False,False,False,False,2760.0
0.75,58.0,5.85,5.79,3.59,False,True,False,False,False,False,2760.0
0.8,56.0,5.94,5.87,3.72,True,False,False,True,False,False,2760.0
0.75,55.0,5.87,5.8,3.63,True,False,False,False,False,False,2760.0
0.8,59.0,5.9,5.81,3.69,False,True,False,False,False,False,2760.0
0.74,55.0,5.77,5.81,3.61,True,False,False,True,False,False,2761.0
0.81,57.0,6.14,6.11,3.6,True,False,False,False,True,False,2761.0
0.59,55.0,5.38,5.43,3.35,True,False,True,False,False,False,2761.0
0.8,57.0,5.96,6.0,3.67,True,False,False,False,True,False,2761.0
0.74,56.0,5.8,5.84,3.62,True,False,True,False,True,False,2761.0
0.9,58.0,6.16,6.12,3.87,False,True,False,True,False,False,2761.0
0.74,59.0,5.73,5.82,3.59,False,False,False,False,False,False,2762.0
0.73,56.0,5.77,5.74,3.6,True,False,False,False,False,False,2762.0
0.73,53.0,5.8,5.75,3.62,True,False,False,False,False,False,2762.0
0.8,58.0,5.7,5.94,3.68,False,True,False,False,True,False,2762.0
0.71,54.0,5.72,5.76,3.58,True,False,False,False,False,False,2762.0
0.7,58.0,5.73,5.76,3.49,True,False,True,False,False,False,2762.0
0.8,59.0,6.01,6.07,3.62,True,False,False,False,True,False,2762.0
0.71,56.0,5.73,5.69,3.56,True,False,False,False,True,False,2762.0
0.74,54.0,5.8,5.83,3.62,True,False,True,False,False,False,2762.0
0.7,63.0,5.64,5.61,3.47,False,False,False,False,False,False,2762.0
0.7,57.0,5.57,5.53,3.58,False,False,False,False,False,False,2762.0
0.7,55.0,5.63,5.58,3.66,False,False,False,False,False,False,2762.0
0.7,60.0,5.65,5.59,3.46,False,True,False,False,False,False,2762.0
0.91,56.0,6.09,5.97,3.7,False,True,False,False,False,False,2763.0
0.61,57.0,5.56,5.58,3.32,False,False,False,False,False,False,2763.0
0.91,57.0,6.11,6.09,3.93,False,False,False,False,True,False,2763.0
0.91,60.0,6.03,5.99,3.95,False,False,False,False,True,False,2763.0
0.77,56.0,5.89,5.86,3.64,True,False,False,False,False,False,2763.0
0.71,58.0,5.64,5.68,3.6,False,False,False,False,False,False,2764.0
0.71,59.0,5.69,5.72,3.53,True,False,False,False,False,False,2764.0
0.7,60.0,5.62,5.65,3.53,False,False,True,False,False,False,2765.0
0.77,60.0,5.88,5.9,3.61,False,False,False,False,False,False,2765.0
0.63,60.0,5.52,5.55,3.37,False,True,True,False,False,True,2765.0
0.71,62.0,5.74,5.77,3.46,False,False,False,False,False,False,2765.0
0.71,59.0,5.69,5.73,3.53,False,True,False,False,False,False,2765.0
0.76,57.0,5.88,5.91,3.61,True,False,False,False,False,False,2765.0
0.64,56.0,5.53,5.56,3.43,True,False,False,False,False,True,2766.0
0.71,57.0,5.78,5.75,3.51,False,True,False,False,False,False,2766.0
0.71,56.0,5.89,5.81,3.5,False,True,False,False,False,False,2766.0
0.7,55.0,5.68,5.72,3.52,False,False,False,False,False,False,2767.0
0.7,57.0,5.8,5.87,3.5,False,False,False,False,False,False,2767.0
0.71,55.0,5.74,5.76,3.54,True,False,False,False,True,False,2767.0
0.7,64.0,5.62,5.65,3.5,False,False,False,False,False,False,2767.0
0.71,59.0,5.52,5.61,3.52,False,False,False,False,False,False,2768.0
0.73,56.0,5.83,5.87,3.52,False,False,False,False,False,False,2768.0
0.7,58.0,5.66,5.73,3.48,False,False,False,False,False,False,2768.0
0.7,57.0,5.73,5.76,3.5,True,False,True,False,False,False,2768.0
0.71,59.0,5.71,5.67,3.51,False,True,False,False,True,False,2768.0
0.74,56.0,5.82,5.86,3.57,True,False,False,True,False,False,2769.0
0.71,60.0,5.65,5.61,3.52,False,True,False,False,False,False,2770.0
0.73,59.0,5.83,5.76,3.56,False,True,False,False,False,False,2770.0
0.76,57.0,5.79,5.81,3.53,False,False,False,False,False,False,2770.0
0.76,57.0,5.78,5.83,3.53,True,False,False,False,True,False,2770.0
0.71,56.0,5.7,5.8,3.51,True,False,False,False,False,False,2770.0
0.73,58.0,5.87,5.82,3.55,False,True,False,False,False,False,2770.0
0.73,58.0,5.79,5.75,3.55,False,True,False,False,False,False,2770.0
0.73,57.0,5.92,5.89,3.54,True,False,False,False,True,False,2770.0
0.73,59.0,5.92,5.87,3.49,False,True,False,False,False,False,2770.0
0.72,56.0,5.81,5.83,3.51,False,False,False,False,False,False,2771.0
0.73,60.0,5.79,5.71,3.58,False,False,False,False,False,False,2771.0
0.71,57.0,5.73,5.77,3.56,True,False,False,False,False,False,2771.0
0.79,55.0,5.97,5.92,3.68,True,False,False,False,True,False,2771.0
0.7,59.0,5.83,5.89,3.54,False,False,False,False,False,True,2772.0
0.8,57.0,6.01,6.03,3.67,False,False,False,False,True,False,2772.0
0.58,55.0,5.39,5.44,3.33,True,False,False,False,False,True,2772.0
0.58,56.0,5.33,5.37,3.3,True,False,False,False,False,True,2772.0
0.71,61.0,5.8,5.88,3.46,False,False,True,False,False,False,2772.0
0.75,56.0,5.85,5.89,3.6,True,False,False,False,True,False,2773.0
0.7,62.0,5.87,5.78,3.38,False,True,False,False,False,False,2773.0
1.17,61.0,6.83,6.9,4.13,False,False,False,False,False,False,2774.0
0.6,55.0,5.41,5.44,3.35,True,False,True,False,False,False,2774.0
0.7,55.0,5.68,5.74,3.58,True,False,True,False,False,False,2774.0
0.83,54.0,5.85,5.88,3.79,False,False,False,True,False,False,2774.0
0.74,61.0,5.8,5.84,3.57,False,False,False,False,False,False,2775.0
0.72,56.4,5.62,5.69,3.61,False,False,False,False,False,False,2776.0
0.71,58.0,5.74,5.68,3.58,False,True,True,False,False,False,2776.0
0.71,57.0,5.79,5.62,3.55,True,False,True,False,False,False,2776.0
0.54,56.0,5.25,5.27,3.24,True,False,True,False,False,False,2776.0
0.54,57.0,5.24,5.26,3.23,True,False,True,False,False,False,2776.0
0.72,56.0,5.72,5.75,3.55,True,False,False,False,False,False,2776.0
0.72,56.0,5.79,5.82,3.53,True,False,False,False,False,False,2776.0
0.72,60.5,5.8,5.84,3.47,False,False,False,False,False,False,2776.0
0.71,56.0,5.8,5.76,3.5,True,False,False,False,False,False,2776.0
0.7,58.0,5.66,5.73,3.57,False,False,False,False,False,False,2777.0
0.71,58.0,5.67,5.7,3.53,False,True,False,False,False,False,2777.0
0.71,57.0,5.64,5.69,3.56,False,False,False,False,False,False,2777.0
0.71,58.0,5.61,5.64,3.59,False,False,False,False,False,False,2777.0
0.71,60.0,5.87,5.9,3.53,False,False,False,False,False,False,2777.0
0.7,55.0,5.7,5.67,3.53,True,False,True,False,False,False,2777.0
0.7,60.0,5.71,5.64,3.47,True,False,True,False,False,False,2777.0
0.7,59.0,5.79,5.75,3.46,False,True,True,False,False,False,2777.0
0.7,57.0,5.73,5.68,3.49,False,True,True,False,False,False,2777.0
0.7,59.0,5.67,5.63,3.54,False,True,True,False,False,False,2777.0
0.7,57.0,5.7,5.68,3.48,False,True,True,False,False,False,2777.0
0.7,58.0,5.78,5.72,3.51,True,False,True,False,False,False,2777.0
0.7,57.0,5.76,5.7,3.52,True,False,True,False,False,False,2777.0
0.72,61.0,5.82,5.71,3.56,False,True,False,False,False,False,2777.0
0.7,63.0,5.76,5.7,3.43,False,False,True,False,False,False,2777.0
0.7,58.0,5.71,5.68,3.49,False,True,True,False,False,False,2777.0
0.7,58.0,5.77,5.74,3.48,False,True,True,False,False,False,2777.0
0.7,59.0,5.64,5.59,3.6,False,False,True,False,False,False,2777.0
0.98,60.0,6.05,5.97,4.08,False,False,False,False,True,False,2777.0
0.78,58.0,5.83,5.8,3.63,False,True,False,False,False,False,2777.0
0.7,60.0,5.6,5.51,3.51,False,False,True,False,False,False,2777.0
0.52,55.0,5.19,5.22,3.19,True,False,False,False,False,True,2401.0
0.73,56.0,5.82,5.84,3.55,False,False,False,False,False,False,2779.0
0.74,56.0,5.84,5.8,3.59,True,False,True,False,False,False,2779.0
0.7,57.0,5.61,5.65,3.58,False,False,False,False,False,False,2780.0
0.77,58.0,5.9,5.93,3.53,False,True,False,False,False,False,2780.0
0.71,54.0,5.68,5.72,3.54,True,False,False,False,False,False,2780.0
0.74,55.0,5.81,5.86,3.59,True,False,False,False,False,False,2780.0
0.7,59.0,5.64,5.73,3.49,True,False,False,False,False,False,2780.0
1.01,60.0,6.39,6.36,3.94,False,True,False,False,False,False,2781.0
0.77,56.0,5.7,5.88,3.64,True,False,False,False,False,False,2781.0
0.78,56.0,5.92,5.71,3.64,True,False,False,False,False,False,2781.0
0.72,63.0,5.83,5.76,3.51,False,False,False,False,False,False,2782.0
0.53,64.0,5.34,5.37,3.08,False,False,False,False,False,False,2782.0
0.76,56.0,5.9,5.94,3.63,True,False,False,False,False,False,2782.0
0.7,62.0,5.81,5.77,3.31,False,False,True,False,False,False,2782.0
0.7,60.0,5.62,5.54,3.51,False,True,True,False,False,False,2782.0
0.75,58.0,5.78,5.73,3.63,False,False,False,False,True,False,2782.0
0.72,57.0,5.76,5.75,3.5,True,False,False,False,False,False,2782.0
0.72,59.0,5.73,5.69,3.58,False,True,False,False,False,False,2782.0
0.7,60.0,5.68,5.66,3.56,False,True,False,False,False,False,2782.0
0.84,67.0,6.39,6.2,3.47,False,False,False,False,False,False,2782.0
0.75,59.0,5.88,5.85,3.6,False,True,False,False,False,False,2782.0
0.52,55.0,5.14,5.18,3.21,True,False,False,False,False,False,2783.0
0.72,54.0,5.69,5.73,3.6,False,False,False,False,False,False,2784.0
0.79,56.0,5.85,5.92,3.75,False,False,False,False,False,False,2784.0
0.72,58.0,5.66,5.69,3.61,False,False,False,False,False,False,2787.0
0.51,57.0,5.11,5.15,3.18,True,False,False,False,False,True,2787.0
0.64,56.0,5.54,5.55,3.41,True,False,False,False,False,False,2787.0
0.7,60.0,5.74,5.77,3.48,False,False,False,False,False,True,2788.0
0.83,60.0,6.07,6.1,3.72,False,False,False,True,False,False,2788.0
0.76,56.0,5.85,5.87,3.62,True,False,False,True,False,False,2788.0
0.7,56.0,5.64,5.68,3.58,False,False,False,False,False,False,2788.0
0.77,64.0,5.97,5.92,3.53,False,False,False,False,False,False,2788.0
0.71,55.0,5.71,5.65,3.55,True,False,False,False,False,False,2788.0
1.01,58.0,6.29,6.21,4.03,False,False,True,False,False,False,2788.0
1.01,59.0,6.31,6.22,3.93,False,True,False,False,True,False,2788.0
0.77,52.0,5.81,5.77,3.72,False,False,False,False,False,False,2789.0
0.76,54.0,5.7,5.85,3.7,False,False,True,False,False,False,2789.0
0.76,58.0,5.92,5.94,3.58,False,True,False,False,False,False,2789.0
0.76,58.0,5.82,5.71,3.61,False,True,True,False,False,False,2789.0
1.05,56.0,6.49,6.45,4.09,False,False,False,False,True,False,2789.0
0.81,56.0,5.97,6.01,3.69,True,False,False,False,True,False,2789.0
0.7,56.0,5.72,5.75,3.53,True,False,True,False,False,False,2789.0
0.55,57.0,5.28,5.3,3.22,True,False,False,False,False,False,2789.0
0.81,61.0,5.94,5.99,3.64,True,False,False,False,True,False,2789.0
0.63,57.0,5.48,5.41,3.38,False,True,True,False,False,False,2789.0
0.63,60.0,5.55,5.52,3.37,False,True,True,False,False,True,2789.0
0.77,60.0,5.9,5.88,3.61,False,True,False,False,False,False,2789.0
1.05,59.0,6.41,6.27,4.18,False,False,False,False,True,False,2789.0
0.64,56.0,5.54,5.58,3.41,True,False,False,False,False,False,2790.0
0.76,59.0,6.0,5.94,3.51,False,True,False,True,False,True,2790.0
0.83,55.0,6.02,6.05,3.76,True,False,False,False,True,False,2790.0
0.71,62.0,5.77,5.74,3.46,False,True,False,False,False,False,2790.0
0.71,59.0,5.73,5.69,3.53,False,True,False,False,False,False,2790.0
0.87,55.8,6.07,6.1,3.87,False,False,False,True,False,False,2791.0
0.73,56.0,5.74,5.78,3.58,True,False,True,False,False,False,2791.0
0.71,59.0,5.83,5.86,3.46,True,False,True,False,False,False,2792.0
0.71,59.0,5.7,5.75,3.54,False,True,True,False,False,False,2792.0
0.71,55.0,5.72,5.77,3.52,True,False,True,False,False,False,2792.0
0.7,60.0,5.71,5.65,3.53,False,True,False,False,False,False,2792.0
0.7,60.0,5.78,5.75,3.53,False,True,False,False,False,False,2792.0
0.76,57.0,5.91,5.86,3.51,False,True,False,False,False,False,2792.0
0.7,56.0,5.73,5.68,3.55,True,False,False,False,False,False,2792.0
0.79,57.0,5.98,6.06,3.65,False,False,False,False,False,False,2793.0
0.7,57.0,5.66,5.69,3.57,False,False,True,False,False,False,2793.0
0.7,55.0,5.6,5.66,3.61,False,False,True,False,False,False,2793.0
0.76,56.0,5.87,5.91,3.61,True,False,False,True,False,False,2793.0
0.73,55.0,5.72,5.76,3.6,True,False,False,False,False,False,2793.0
0.79,56.0,5.91,5.86,3.72,False,False,True,False,False,False,2794.0
0.71,56.0,5.81,5.82,3.53,False,False,False,False,False,False,2795.0
0.81,60.0,5.91,5.86,3.64,False,True,False,True,False,False,2795.0
0.81,55.0,5.92,5.96,3.72,True,False,False,False,True,False,2795.0
0.72,60.0,5.74,5.72,3.48,False,False,False,False,False,False,2795.0
0.72,60.0,5.73,5.69,3.54,False,True,False,False,True,False,2795.0
0.7,57.0,5.72,5.7,3.6,False,True,False,True,False,False,2795.0
0.81,59.0,6.17,6.13,3.57,False,True,False,False,False,False,2795.0
0.72,57.0,5.73,5.65,3.58,False,True,False,False,False,False,2795.0
1.0,60.0,6.61,6.55,3.83,False,True,False,True,True,False,2795.0
0.73,58.0,5.7,5.76,3.62,False,False,True,False,False,False,2796.0
0.81,59.0,5.94,6.01,3.66,False,False,False,False,True,False,2797.0
0.7,60.0,6.07,6.1,3.67,False,False,True,False,False,False,2797.0
0.71,60.0,5.67,5.71,3.57,False,True,False,False,False,False,2797.0
0.71,58.0,5.73,5.75,3.52,False,True,False,False,False,False,2797.0
0.71,60.0,5.74,5.69,3.52,False,True,False,False,False,False,2797.0
0.57,55.0,5.34,5.35,3.31,True,False,False,False,False,False,2797.0
0.51,56.0,5.12,5.16,3.17,True,False,False,False,False,True,2797.0
0.72,58.0,5.72,5.75,3.55,True,False,False,False,False,False,2797.0
0.74,58.0,5.77,5.81,3.58,True,False,False,False,False,False,2797.0
0.74,56.0,5.81,5.82,3.58,True,False,False,False,False,False,2797.0
0.7,66.0,5.81,5.9,3.44,False,False,False,False,False,True,2797.0
0.8,57.0,6.03,6.01,3.67,False,True,False,False,True,False,2797.0
1.01,60.0,6.19,6.05,4.13,False,False,True,False,True,False,2797.0
0.8,60.0,5.92,5.82,3.72,False,False,False,False,False,False,2797.0
0.77,59.0,5.87,5.91,3.62,True,False,False,True,False,False,2798.0
0.83,62.0,6.19,6.25,3.61,False,False,True,False,True,False,2799.0
0.82,54.0,5.97,6.02,3.74,True,False,False,False,True,False,2799.0
0.78,57.0,5.91,5.86,3.64,True,False,False,False,False,False,2799.0
0.6,56.0,5.43,5.46,3.35,False,False,False,False,False,False,2800.0
0.9,59.0,6.07,6.11,3.79,False,False,False,True,True,False,2800.0
0.7,58.0,5.6,5.66,3.5,False,True,True,False,False,False,2800.0
0.9,56.0,5.7,6.23,3.8,False,False,False,True,True,False,2800.0
0.83,57.0,5.99,6.08,3.76,True,False,False,False,False,False,2800.0
0.83,57.0,6.03,6.07,3.74,True,False,False,False,False,False,2800.0
0.83,59.0,5.95,6.02,3.74,False,False,False,False,False,False,2800.0
0.74,60.0,5.74,5.68,3.59,False,True,False,False,False,False,2800.0
0.79,59.0,5.92,5.95,3.67,True,False,False,True,False,False,2800.0
0.61,56.0,5.43,5.45,3.39,True,False,False,False,False,False,2800.0
0.76,70.0,5.89,5.71,3.46,False,False,False,False,False,False,2800.0
0.96,55.0,6.37,6.41,3.88,True,False,False,False,False,False,2801.0
0.73,55.0,5.8,5.76,3.61,True,False,False,False,False,False,2801.0
0.73,58.0,5.76,5.7,3.59,False,True,False,False,False,False,2801.0
0.75,57.0,5.93,5.96,3.59,True,False,False,False,False,False,2801.0
0.71,58.0,5.7,5.67,3.53,False,True,False,False,False,False,2801.0
0.71,60.0,5.9,5.87,3.4,False,False,False,False,False,False,2801.0
0.71,58.0,5.64,5.61,3.59,False,False,False,False,False,False,2801.0
0.71,57.0,5.69,5.64,3.56,False,True,False,False,False,False,2801.0
1.04,58.0,6.46,6.41,4.0,False,True,False,False,False,False,2801.0
1.0,58.0,6.45,6.34,3.98,False,True,False,False,True,False,2801.0
0.87,58.0,6.19,6.23,3.72,False,False,False,False,True,False,2802.0
0.53,54.0,5.22,5.25,3.24,True,False,False,False,False,False,2802.0
0.72,55.0,5.79,5.61,3.59,False,True,True,False,False,False,2802.0
0.72,58.0,5.83,5.7,3.6,False,True,False,False,False,False,2802.0
0.7,58.0,5.63,5.65,3.55,False,False,False,False,False,False,2803.0
0.74,56.0,5.74,5.79,3.66,False,False,True,False,False,False,2803.0
0.71,56.0,5.75,5.71,3.51,True,False,False,False,False,False,2803.0
0.7,54.0,5.84,5.89,3.55,True,False,True,False,False,False,2803.0
0.7,58.0,5.56,5.59,3.63,False,False,False,False,False,False,2803.0
0.71,58.0,5.7,5.67,3.56,False,True,False,False,False,False,2803.0
0.71,62.0,5.85,5.81,3.38,False,True,False,False,False,False,2803.0
0.71,61.0,5.7,5.65,3.54,False,True,False,False,False,False,2803.0
0.77,57.0,5.93,5.88,3.62,False,True,False,False,False,False,2803.0
0.7,60.0,5.81,5.77,3.47,False,True,False,False,False,False,2803.0
0.78,58.0,6.03,5.95,3.64,False,True,False,False,False,False,2803.0
0.71,55.0,5.66,5.64,3.59,False,False,False,False,False,False,2803.0
0.91,57.0,6.21,5.71,3.85,True,False,False,False,True,False,2803.0
0.71,58.0,5.62,5.66,3.6,False,False,True,False,False,False,2804.0
0.71,57.0,5.66,5.68,3.63,False,False,True,False,False,False,2804.0
0.8,56.0,5.88,5.96,3.7,False,False,True,False,True,False,2804.0
0.7,58.0,5.69,5.73,3.56,False,False,False,False,False,False,2804.0
0.72,57.0,5.74,5.77,3.55,True,False,False,False,False,False,2804.0
0.72,58.0,5.75,5.7,3.56,False,False,False,False,False,False,2804.0
0.82,56.0,6.01,6.08,3.72,True,False,False,False,False,False,2804.0
0.7,59.0,5.68,5.7,3.47,True,False,False,False,False,False,2804.0
0.72,56.0,5.74,5.77,3.58,True,False,False,False,False,False,2804.0
0.72,54.0,5.77,5.8,3.56,True,False,False,False,False,False,2804.0
0.9,59.0,5.93,5.84,3.96,False,False,False,True,False,False,2804.0
0.74,58.0,5.7,5.78,3.59,False,True,False,False,False,False,2805.0
0.74,56.0,5.8,5.77,3.58,False,True,False,False,False,False,2805.0
0.73,58.0,5.77,5.81,3.58,True,False,True,False,True,False,2805.0
0.57,66.0,5.7,5.43,3.16,False,False,True,False,False,True,2805.0
0.73,57.0,5.75,5.7,3.58,False,True,False,False,False,False,2805.0
0.72,56.0,5.74,5.7,3.59,True,False,False,False,False,False,2805.0
0.74,68.0,5.82,5.75,3.53,False,False,False,False,False,False,2805.0
0.82,57.0,5.92,5.89,3.78,False,False,False,False,False,False,2805.0
0.81,60.0,5.89,5.94,3.69,False,False,False,False,False,False,2806.0
0.75,58.0,5.85,5.9,3.56,False,False,False,False,False,True,2806.0
0.7,55.0,5.72,5.74,3.53,True,False,False,False,False,False,2806.0
0.71,58.0,5.66,5.72,3.54,False,False,False,False,False,False,2807.0
0.71,57.0,5.84,5.9,3.52,False,False,False,False,False,False,2807.0
0.93,57.0,6.21,6.19,3.84,False,True,False,False,True,False,2807.0
0.8,57.0,5.87,5.91,3.7,False,False,False,False,False,False,2808.0
0.7,57.0,5.64,5.71,3.52,False,False,False,False,False,False,2808.0
1.0,59.0,6.16,6.09,4.07,False,False,False,False,False,False,2808.0
0.75,56.0,5.78,5.74,3.65,False,False,False,False,False,False,2808.0
0.58,56.0,5.41,5.43,3.3,True,False,True,False,False,False,2808.0
0.73,57.0,5.74,5.7,3.61,False,False,False,False,False,False,2808.0
0.81,59.0,5.85,5.79,3.67,False,False,False,False,False,False,2809.0
0.81,57.0,6.15,6.05,3.61,False,True,False,False,True,False,2809.0
0.71,54.0,5.84,5.8,3.53,False,True,False,False,False,False,2809.0
1.2,56.0,6.73,6.66,4.33,False,False,False,False,False,False,2809.0
